Route ID;Distance;Driver name
4363;78.05;Jan WOLF
4446;20.47;Anton SANTOS
4481;39.646;Nykolai EVANS
4569;818.335;David NAVARRO
4584;9.469;Francisco NAGY
4584;33.992;Francisco NAGY
4629;5.464;Tatyana SCHULZ
4669;19.902;Aleksandra KUZNETSOVA
4705;5.897;Elena BRAUN
4706;8.196;Jan WILSON
4749;9.528;Rosa MÜLLER
4787;106.176;Rosa RICHTER
4805;11.048;Tatiana SCHÄFER
4808;4.549;Nikolay MEYER
4813;25.568;Pavel FERREIRA
4842;140.39;Michael KUZNETSOV
4866;19.284;Oksana POPOVA
4867;129.805;Tomasz FERNANDEZ
4883;8.357;Michael NOVIKOVA
4894;23.346;Christian THOMAS
4894;25.856;Christian THOMAS
4896;3.873;Valentyna SMIRNOVA
4905;9.583;Klaus SIMON
5021;43.117;Richard NAGY
5029;9.476;Barbara VASILEVA
5058;12.93;Brigitte KOVÁCS
5080;115.908;Marina RODRIGUEZ
5137;8.346;Mario MARTINEZ
5141;3.935;Vladymyr MOROZOVA
5202;15.062;Ana GUTIERREZ
5218;9.302;Aleksandr SILVA
5220;170.326;Sandra HANSEN
5221;88.354;Andrei KARLSSON
5247;14.631;Petra FISCHER
5303;5.4;John SHEVCHENKO
5303;34.393;John SHEVCHENKO
5381;4.16;Denis NOWAK
5404;13.652;Tomasz POPOVA
5430;52.417;Nadezhda VASILEVA
5433;58.69;Lyubov SMIRNOVA
5450;5.717;Francisco MARTINEZ
5580;15.278;Lyubov ALONSO
5694;12.481;Robert HANSEN
5707;56.305;Ivan BAUER
5728;12.891;Michael RODRIGUEZ
5733;76.082;Valentina JENSEN
5742;3.248;Alexander PEREIRA
5792;8.4;Rosa SMIRNOV
5810;8.529;Manfred RUIZ
5820;1.614;Jean HUBER
5865;22.2;Peter SILVA
5885;17.485;Lyubov MEYER
5966;4.095;Nikolay POPOVA
6045;19.036;Mario WEBER
6056;134.509;Sandra WEBER
6111;9.44;Marta SCHMIDT
6114;75.794;Olga RUSSO
6120;6.009;Serhei ALVAREZ
6297;24.249;Antonio HERNANDEZ
6325;67.358;Claude FERRARI
6353;59.721;Daniel RUSSO
6361;69.051;Marta ROMERO
6448;111.246;Nadezhda POPOV
6451;19.636;Mária JENSEN
6480;5.233;Robert ANDERSSON
6511;4.408;Marta NOVIKOVA
6528;10.251;Mária SCHÄFER
6543;55.66;Ana SCHMID
6652;104.844;Olga NIELSEN
6698;13.778;Sandra JIMENEZ
6707;11.157;Wolfgang TAYLOR
6726;106.863;Lyubov SIMON
6760;2.831;Roman MEYER
6881;2.941;Paul VASILEVA
6985;13.188;Antonio KARLSSON
7035;19.552;Mariya PAVLOVA
7077;16.455;Jose SMIRNOVA
7163;4.625;Mario JONES
7208;13.115;Anne WILSON
7224;7.8;Denis MARTIN
7225;19.146;Vasylyi THOMAS
7238;699.197;Peter KUZNETSOV
7262;12.772;Vladimir MEIER
7297;7.743;Juan WILSON
7354;5.696;Andreas WOLF
7423;6.095;Evgeniy PEREIRA
7444;5.068;Valentyna NOVIKOVA
7448;11.888;Nikolay ALONSO
7488;34.423;Brigitte SCHÄFER
7534;19.296;Marta SCHNEIDER
7575;32.194;Alexander NOWAK
7610;14.614;Vera ZIMMERMANN
7628;3.216;Anton RICHTER
7700;14.036;Denis ROMERO
7714;2.999;Robert MUÑOZ
7715;6.662;Patrick KRAVCHENKO
7832;6.517;Anastasiya HOFFMANN
7856;15.013;Elena NAGY
7880;52.006;Olga KOCH
7919;7.183;Brigitte COSTA
7947;50.307;Andreas ALVAREZ
7952;22.575;Andreas WILSON
8011;12.924;Daniel KRAVCHENKO
8021;26.033;Antonio VASILEVA
8022;51.787;Alina JENSEN
8086;6.461;Tatiana TÓTH
8147;3.871;Thomas JENSEN
8149;7.048;Angela FERRARI
8165;169.446;Elena DAVIES
8167;3.832;Ekaterina MEIER
8175;48.637;Antonio MUÑOZ
8238;19.96;Andrea KUZNETSOVA
8252;33.983;Alexander KOVALENKO
8327;45.987;Tomasz RAMOS
8339;14.523;Paul HOFFMANN
8379;15.191;Patrick RODRIGUEZ
8395;11.53;Rosa VOLKOVA
8418;8.942;Josef SMIRNOV
8480;31.157;Irina RAMOS
8495;9.2;Thomas MARIN
8497;3.965;Nadezhda KOVALENKO
8523;10.294;Maksim BROWN
8558;8.453;Thomas KRAVCHENKO
8559;16.504;Peter SCHULZ
8563;35.877;Anna WILLIAMS
8619;47.322;Laura PETROV
8714;3.295;Aleksandra JOHNSON
8757;66.499;Valentina VARGA
8830;42.023;Denis RUSSO
8855;12.685;John MARIN
8874;8.228;Oksana MÜLLER
8954;13.956;Oksana MORENO
8998;21.656;Jose HERNANDEZ
9006;12.923;Aleksandra FERREIRA
9006;31.95;Aleksandra FERREIRA
9020;30.271;Marina MARIN
9033;2.852;Brigitte HUBER
9054;2.586;Josef EVANS
9075;70.308;Marie FERNANDEZ
9132;27.036;Natalya SCHÄFER
9162;9.051;Christian SMIRNOV
9276;14.176;Andrey SCHMIDT
9280;4.57;Lyubov GUTIERREZ
9395;9.758;Elisabeth MARTINEZ
9451;6.19;Vladimir MARIN
9462;32.622;Sergey JOHANSSON
9553;44.339;Yuliya KOVALENKO
9585;29.212;Peter MUÑOZ
9588;1.382;Aleksey NAVARRO
9632;30.185;Klaus ANDERSSON
9787;35.672;Natalya EVANS
9799;24.921;Francisco SCHMIDT
9884;36.787;Elisabeth NIELSEN
9894;18.623;Manfred JOHANSSON
9916;2.274;Daniel WILSON
9963;127.652;Angela HUBER
10011;44.445;Maryia SCHNEIDER
10054;41.535;Jose SHEVCHENKO
10061;20.696;Paul FERREIRA
10071;103.227;Manfred KARLSSON
10153;70.697;Francesco RAMOS
10155;4.532;Marina SHEVCHENKO
10242;10.476;Rosa GONZALEZ
10266;42.132;Claude RICHTER
10270;142.926;Aleksandra GUTIERREZ
10290;10.128;Rosa KUZNETSOVA
10369;5.422;Rosa MEYER
10382;7.368;Irina VOLKOVA
10421;5.832;Alina JENSEN
10443;21.754;Valentina ZIMMERMANN
10468;4.227;Aleksandra JOHNSON
10514;6.447;Juan BROWN
10556;44.363;Sandra HOFFMANN
10579;8.232;Alexander NAGY
10746;74.032;Andrey MORENO
10803;6.789;Karin WAGNER
10823;16.36;Ekaterina ZIMMERMANN
10840;4.884;Ivan JIMENEZ
10900;18.582;Dmitriy GARCIA
10935;460.876;Martin HUBER
11012;105.134;Mikhail ALONSO
11145;23.381;Jean RUIZ
11190;46.452;Martin KOCH
11226;59.704;Rosa HERNANDEZ
11240;50.406;Ana KRAVCHENKO
11259;14.981;Jan JONES
11310;9.517;Tomasz BROWN
11329;33.916;Tatyana MILLER
11349;14.436;Oksana NAVARRO
11362;7.956;Nadezhda JIMENEZ
11424;10.751;Alexander POPOVA
11473;44.86;Alexander RICHTER
11524;3.216;Dmitriy POPOVA
11588;31.64;Lyubov GARCIA
11597;3.01;Vladimir MORENO
11611;5.448;Monika RICHTER
11630;45.977;Thomas NAGY
11733;46.881;Piotr THOMAS
11746;3.459;Mikhail KUZNETSOV
11760;12.434;Francesco MUÑOZ
11767;13.594;Robert COSTA
11768;113.776;Aleksandra KOCH
11781;6.614;Mária ALONSO
11798;46.703;Vladimir SCHNEIDER
11811;85.632;Thomas JIMENEZ
11813;5.978;Laura SIMON
11814;36.66;Andrea KOVALENKO
11818;41.302;Serhei WEBER
11835;53.036;Vladimir MARIN
11862;44.924;Andreas VARGA
11864;3.154;Michael MARTIN
11887;34.354;Roman BAUER
11892;32.379;Marie FERREIRA
11944;11.831;Juan THOMAS
11980;21.338;Daniel THOMAS
12026;31.309;Alina HERNANDEZ
12048;62.101;Antonio EVANS
12053;8.246;Christine SZABÓ
12116;3.288;Nikolay KLEIN
12143;54.106;Tatyana HOFFMANN
12200;19.765;Vladymyr BAUER
12213;94.837;Igor LOPEZ
12231;57.684;Nadezhda KOVALENKO
12238;19.234;Pavel SANTOS
12278;3.738;Michael KUZNETSOVA
12282;7.847;Svetlana ALVAREZ
12289;4.985;Vladimir RAMOS
12309;63.157;Peter SCHMID
12318;11.44;Valentyna BECKER
12352;5.883;Darya JIMENEZ
12353;33.735;Valentyna SILVA
12364;21.496;Andreas ZIMMERMANN
12377;107.638;Ivan JOHNSON
12433;48.59;Aleksandra KOCH
12499;4.181;Jose TÓTH
12510;13.442;Darya VARGA
12519;51.409;Andrey PEREZ
12521;12.158;Igor PEREZ
12526;5.324;Christian MORENO
12542;4.662;Pavel SANTOS
12576;13.712;Christian WILSON
12611;4.249;Francesco MARTIN
12657;46.478;Wolfgang VOLKOVA
12666;47.173;Werner FERRARI
12696;35.024;Claude IVANOVA
12700;39.447;Maryia SCHÄFER
12737;7.548;Marie KLEIN
12761;2.318;Svetlana KOVALENKO
12781;6.122;Vasylyi JIMENEZ
12781;35.37;Vasylyi JIMENEZ
12784;44.363;Maksim HOFFMANN
12799;18.068;Anna GARCIA
12823;14.204;Maryia FERREIRA
12865;4.769;Tatiana TORRES
12890;15.246;Francisco JENSEN
12898;25.007;Nadezhda MÜLLER
12900;2.567;Claude WAGNER
12910;9.335;Roman HUBER
12916;15.467;Yuliya HUBER
12919;5.712;Natalya MILLER
12957;39.344;Aleksey SCHÄFER
12964;12.489;Francisco KLEIN
13034;4.487;Eva TÓTH
13117;7.307;Nykolai FERRARI
13128;26.237;Roman ALVAREZ
13140;25.497;Hans JOHNSON
13180;8.403;Maksim MARIN
13220;12.366;Yvan MARTINEZ
13229;22.677;Mario KUZNETSOVA
13348;20.948;Josef GOMEZ
13352;29.253;Jean PETROVA
13364;68.584;Mario HUBER
13395;2.921;Andrea PAVLOVA
13438;11.124;Sergey SANCHEZ
13467;478.799;Elena PEREIRA
13526;35.368;Vera SCHULZ
13566;28.203;Antonio MUÑOZ
13632;14.3;John DIAZ
13704;60.622;Valentina ROBERTS
13709;30.623;Marta ROBERTS
13712;18.848;Valentina MARIN
13742;29.87;Nadezhda ROBERTS
13782;2.686;Mária JOHNSON
13851;41.203;Nikolay NOVIKOVA
13981;15.769;Jan SCHNEIDER
14012;5.366;Nykolai PAVLOVA
14026;164.152;Maksim GUTIERREZ
14036;2.471;Sandra JOHANSSON
14057;197.627;Yuliya WOLF
14104;15.216;Michel COSTA
14111;102.167;Evgeniy MARTINEZ
14195;27.367;Anne PETROVA
14195;14.844;Anne PETROVA
14196;14.559;Mariya HERNANDEZ
14198;28.323;Piotr MARIN
14240;5.375;Claude HERNANDEZ
14269;34.122;Manfred KLEIN
14305;6.718;Andrea SANTOS
14324;31.306;Vladymyr FERNANDEZ
14340;529.932;Wolfgang MARIN
14359;37.623;Tomasz BRAUN
14374;7.099;Nikolay POPOV
14399;3.179;Brigitte TAYLOR
14457;16.931;Giuseppe MARTINEZ
14462;12.531;Evgeniy PETROV
14506;12.153;Elisabeth FISCHER
14507;67.614;Olha HANSEN
14566;7.068;Juan SANCHEZ
14579;28.476;Yvan KOVÁCS
14583;2.787;Vasylyi HERNANDEZ
14585;2.88;Angela JIMENEZ
14650;7.034;Thomas ROBERTS
14718;3.896;Tomasz MAGOMEDOV
14801;10.454;Josef SILVA
14875;10.015;Yuliya DAVIES
14890;21.783;Alina GOMEZ
14892;17.052;Maryia THOMAS
14898;48.177;Tatyana PETROVA
14908;98.485;Andrey SOKOLOVA
14952;10.772;Maria THOMAS
14954;30.237;Olga ALVAREZ
14988;232.439;Antonio KOVALENKO
15027;81.653;Olga ZIMMERMANN
15042;14.881;Evgeniy MÜLLER
15052;24.418;Eva KLEIN
15074;8.013;Claude NAGY
15088;15.52;Vera WOLF
15092;15.764;Marta MARTINEZ
15111;18.031;Angela RUSSO
15126;33.917;Aleksandr PETROVA
15130;10.479;Vera SILVA
15147;14.636;Juan SMIRNOVA
15166;11.33;Mariya GONZALEZ
15281;96.63;Igor SANTOS
15287;10.435;Anton EVANS
15334;2.718;Christine SZABÓ
15399;2.806;Olga THOMAS
15451;34.849;Dmitriy SCHÄFER
15525;5.479;Laura FERREIRA
15533;4.96;David JOHANSSON
15545;3.797;Pavel THOMAS
15559;5.061;Andrey PETROV
15571;10.151;Juan BAUER
15591;31.625;Tatyana HUBER
15594;140.178;Nadezhda PEREZ
15607;30.615;Yuliya IVANOV
15632;2.768;Maria LOPEZ
15647;25.39;Pavel THOMAS
15682;14.243;Patrick PETROVA
15730;116.813;Giovanni SCHMID
15735;13.934;Dmitriy JIMENEZ
15756;3.214;Rosa SCHNEIDER
15842;30.735;Michel FISCHER
15847;10.553;Piotr HUBER
15907;47.096;Klaus KARLSSON
15910;38.841;Nadezhda MEIER
15958;53.076;Claude MUÑOZ
15972;42.227;Martin VOLKOVA
16006;8.935;Nadezhda KOVALENKO
16030;18.125;Manfred RAMOS
16050;4.435;Monika KLEIN
16109;28.407;Tatyana POPOVA
16135;12.222;Alina MARTIN
16138;31.693;David TÓTH
16183;11.945;Ana VARGA
16201;63.119;Claude SCHMIDT
16214;30.443;Peter TÓTH
16215;24.605;Sandra JENSEN
16217;797.893;Mario RODRIGUEZ
16276;34.118;Valentina HOFFMANN
16307;4.139;Michel MAGOMEDOV
16404;16.864;Tatyana SMIRNOV
16488;2.573;Francisco MILLER
16502;34.219;Juan NOVIKOVA
16511;2.064;Serhei ZIMMERMANN
16525;81.125;Tatiana VOLKOVA
16541;5.684;Christine SANCHEZ
16557;13.652;Marta JIMENEZ
16597;15.082;Svetlana SZABÓ
16626;38.202;Michael EVANS
16634;44.722;Giuseppe JENSEN
16634;37.904;Giuseppe JENSEN
16684;4.018;Maksim KLEIN
16735;64.212;Manfred NOVIKOVA
16738;19.45;Maria PETROV
16745;21.957;Sandra GOMEZ
16754;48.786;Giuseppe NOVIKOVA
16765;7.827;Vera WILSON
16765;3.202;Vera WILSON
16774;27.311;Nykolai KUZNETSOV
16782;20.894;Marta JIMENEZ
16838;4.053;Anne FERRARI
16862;167.645;Vasylyi SOKOLOVA
16863;5.786;Yvan BRAUN
16891;24.609;Andrei RUSSO
16897;5.06;Daniel FISCHER
16984;18.264;Igor KOVÁCS
16987;15.923;Antonio MILLER
17030;3.332;Tatyana NAGY
17032;6.635;Barbara POPOVA
17122;35.419;Anton NAGY
17159;34.332;Anne SMIRNOVA
17221;5.038;Elena KOVALENKO
17246;19.231;Christine SMIRNOVA
17248;30.653;Aleksandr PAVLOVA
17255;7.096;Marie GARCIA
17268;47.396;Vladimir MARIN
17272;16.902;Mario SMIRNOV
17304;66.09;John MEIER
17318;2.576;Anna MILLER
17370;5.229;Yuliya RUIZ
17372;15.764;Piotr KOCH
17377;12.746;Anna MOROZOVA
17388;4.898;Francisco MILLER
17403;5.444;Olha GOMEZ
17434;81.834;Francesco SCHMIDT
17441;33.41;Valentina ROBERTS
17470;29.477;Petra KRAVCHENKO
17506;12.632;Francisco MAGOMEDOV
17527;13.873;Olha JONES
17581;18.109;Tomasz KRAVCHENKO
17596;52.612;Aleksey MILLER
17611;62.976;Martin JENSEN
17625;43.413;Robert KUZNETSOVA
17629;3.049;Claude KUZNETSOV
17645;1.526;Martin KOVALENKO
17674;51.059;Thomas KARLSSON
17687;35.284;Aleksandra ROBERTS
17764;27.031;Vladimir MEIER
17771;16.208;Brigitte SCHÄFER
17853;6.662;Oksana LOPEZ
17864;7.516;Serhei IVANOVA
17913;68.212;Robert JOHNSON
18017;7.305;Martin HERNANDEZ
18069;14.471;Andreas ZIMMERMANN
18090;22.867;Tatiana IVANOVA
18154;91.244;Jean KRAVCHENKO
18185;17.157;Andrea JOHANSSON
18232;19.664;Michel BRAUN
18273;5.061;Ekaterina IVANOV
18286;5.847;Maria BROWN
18291;17.335;Patrick SMIRNOVA
18303;4.045;Karin WOLF
18319;15.746;Tomasz WILLIAMS
18377;21.303;Tomasz WOLF
18470;34.876;Serhei GOMEZ
18472;4.897;Jean KARLSSON
18488;69.46;Hans THOMAS
18494;2.484;Tomasz BONDARENKO
18546;4.517;Andrea KOVALENKO
18594;14.043;Thomas SHEVCHENKO
18606;94.692;Evgeniy FERREIRA
18609;116.953;Werner SCHMID
18797;20.578;Peter DIAZ
18807;4.289;Andrea SMIRNOV
18867;7.627;Barbara SMIRNOVA
18904;24.534;Alexander SOKOLOVA
18962;4.099;Karin SCHÄFER
18967;22.641;Wolfgang SANCHEZ
18983;7.377;Sandra SCHMIDT
19065;4.38;Denis RUSSO
19151;20.618;Giuseppe JIMENEZ
19155;29.352;Maryia WEBER
19158;12.215;Hans KRAVCHENKO
19162;75.715;Anne SANCHEZ
19164;31.938;Vladymyr THOMAS
19174;3.836;Lyubov WOLF
19222;10.678;Anne KOCH
19228;15.973;Tatyana KRAVCHENKO
19294;12.423;Michael DIAZ
19309;21.043;John HANSEN
19310;5.333;Paul JENSEN
19370;6.203;Mikhail JOHANSSON
19422;34.477;Anastasiya SZABÓ
19430;5.064;Elena BROWN
19468;6.905;Andrei GOMEZ
19498;13.427;Olga VASILEVA
19515;6.544;Anne SMIRNOV
19547;44.442;Juan MOROZOVA
19613;6.805;Serhei MILLER
19622;88.66;Jean KLEIN
19673;81.724;Klaus BROWN
19683;7.722;Olha MARTIN
19706;3.368;Svetlana KOCH
19751;3.614;Ana MARTINEZ
19771;20.683;Pavel FERREIRA
19800;21.275;Patrick KUZNETSOVA
19816;4.165;Vladimir MAGOMEDOV
19826;46.462;Marina VOLKOVA
19835;4.025;Anastasiya PEREIRA
19864;24.255;David POPOVA
19889;14.103;Valentina JENSEN
19938;19.841;Tatyana JENSEN
19955;8.581;Mária PEREZ
19962;2.656;Karin SCHMIDT
19984;22.101;Yuliya EVANS
20009;24.294;Nadezhda TÓTH
20022;14.774;Igor POPOVA
20031;10.817;Christine ROMERO
20044;88.208;Sandra VASILEVA
20105;5.006;Andrea BECKER
20125;14.443;Pavel SANTOS
20129;38.043;Manfred FERRARI
20233;15.856;Monika RICHTER
20275;9.325;Anton SMITH
20287;6.151;Peter ZIMMERMANN
20317;3.97;Nadezhda POPOV
20329;44.33;Anna GARCIA
20399;10.224;Tatiana MARTIN
20420;23.095;John FERREIRA
20442;43.254;Olha ANDERSSON
20459;50.047;Svetlana KARLSSON
20460;9.405;Darya ROSSI
20500;45.956;Dmitriy VARGA
20515;44.237;Andrea KRAVCHENKO
20610;150.704;Mikhail MUÑOZ
20662;42.185;Laura FERRARI
20673;489.463;Aleksandra KOVALENKO
20688;16.125;Anton SILVA
20696;2.908;Tatyana HOFFMANN
20711;147.539;Tatiana NIELSEN
20734;3.15;Alexander FERREIRA
20787;143.204;Eva DIAZ
20787;90.851;Eva DIAZ
20883;51.379;Serhei PETROVA
20906;13.463;Alexander SHEVCHENKO
20919;67.674;Marie BAUER
20929;67.47;Ekaterina VASILEVA
21046;3.173;Tatiana ROBERTS
21046;4.246;Tatiana ROBERTS
21061;3.782;Francisco HOFFMANN
21118;11.262;Sandra SMIRNOV
21127;8.281;Roman HERNANDEZ
21142;21.599;Klaus HUBER
21178;48.733;Claude SCHNEIDER
21194;6.45;Peter SCHULZ
21208;3.006;Maryia TAYLOR
21244;9.325;Robert HANSEN
21245;11.468;Aleksandr JONES
21295;5.477;Maksim SCHÄFER
21318;18.679;Valentyna ALVAREZ
21322;22.397;Yvan SILVA
21448;51.416;Maksim SMIRNOV
21570;5.385;Serhei GUTIERREZ
21579;2.915;Dmitriy MORENO
21645;61.279;Wolfgang TORRES
21676;8.422;Claude MILLER
21733;6.308;Mario MOROZOVA
21733;44.594;Mario MOROZOVA
21794;78.943;David KUZNETSOVA
21808;23.316;Aleksandr NOVIKOVA
21825;8.879;Valentina THOMAS
21854;6.603;Vladymyr JOHANSSON
21928;5.284;Mária IVANOV
21947;17.718;Aleksey HERNANDEZ
21963;5.675;Irina SCHNEIDER
21984;8.721;Marie NIELSEN
22012;6.544;Roman KOVALENKO
22013;11.56;Manfred NAGY
22015;3.654;Rosa SMIRNOVA
22029;3.371;Elena PEREIRA
22042;2.777;Claude POPOV
22109;8.348;Monika SMIRNOVA
22111;21.864;Mario PETROVA
22126;143.307;Mario SCHMIDT
22151;10.664;Lyubov HUBER
22163;15.235;Alexander THOMAS
22190;15.352;Yuliya COSTA
22233;31.3;Andreas BRAUN
22248;12.648;Brigitte KRAVCHENKO
22275;47.332;Daniel MARIN
22355;38.176;Patrick KUZNETSOV
22365;6.377;Marta MARIN
22370;3.408;Marta FERNANDEZ
22414;62.303;Andrei MEYER
22425;4.062;Tomasz NAVARRO
22466;11.952;David PAVLOVA
22483;11.499;Christine MEYER
22507;9.064;Sergey KLEIN
22533;23.018;Mariya LOPEZ
22533;21.87;Mariya LOPEZ
22566;30.828;Laura ROBERTS
22615;10.459;Roman TORRES
22627;2.299;Olga JOHANSSON
22635;26.22;Pavel THOMAS
22684;113.364;Alexander SOKOLOVA
22711;30.033;Wolfgang ALONSO
22729;7.564;Darya MORENO
22738;15.452;Brigitte NOWAK
22775;5.111;Mario BAUER
22808;4.296;Josef IVANOVA
22818;87.464;Denis NOVIKOVA
22820;10.811;Natalya JIMENEZ
22828;29.312;Andrei MÜLLER
22888;12.689;Elisabeth WAGNER
22929;5.824;Yvan NOVIKOVA
22953;7.394;Giovanni BECKER
22981;3.929;Hans GOMEZ
23050;5.991;Vera NOVIKOVA
23126;5.139;Michael WEBER
23154;37.183;Barbara ROSSI
23179;36.289;Vladimir SANCHEZ
23185;3.296;Elena HERNANDEZ
23208;77.824;Nadezhda SMIRNOV
23264;11.709;Lyubov MOROZOVA
23282;24.744;Maryia GOMEZ
23316;7.475;Maryia RUIZ
23338;3.95;Svetlana KARLSSON
23345;1.836;Werner SIMON
23407;20.776;Pavel TORRES
23446;91.371;Sergey JENSEN
23461;3.573;Eva ROSSI
23475;4.131;Claude NAGY
23607;20.157;Serhei GOMEZ
23626;13.621;Patrick KLEIN
23671;6.069;Richard NAGY
23672;4.382;Valentina DAVIES
23766;12.245;Andreas WILSON
23766;9.589;Andreas WILSON
23788;12.431;Marie KRAVCHENKO
23792;30.455;Maria PETROVA
23798;2.536;Denis HOFFMANN
23813;6.737;Marie ALVAREZ
23832;1.716;Valentyna JOHNSON
23834;45.663;Lyubov GUTIERREZ
23878;1.335;Daniel MEIER
23885;13.716;Angela KARLSSON
23894;38.48;Aleksandra JOHNSON
23962;20.541;Jan PETROVA
23989;23.293;Marie SMITH
24013;14.844;Piotr NOVIKOVA
24042;17.719;Elena PAVLOVA
24049;5.048;Anastasiya ROSSI
24058;56.728;Andrea POPOV
24068;33.767;Maria NOWAK
24098;45.609;Elena PETROVA
24186;7.714;Elena MARTINEZ
24221;9.755;Nikolay SMIRNOVA
